delay,units,,,,,train mse,val mse
16,7,5,,,,0.0074017435587925,0.00716364185158414
2,4,4,2,9,9,0.00719586714737091,0.00721586217428054
20,5,,,,,0.0073893564752935,0.00735625661184771
18,7,9,9,,,0.00745606501471882,0.00772448057377434
6,10,3,,,,0.00743597055119132,0.00766968281964239
2,8,3,10,6,9,0.00720770113538463,0.00721007421403514
19,8,2,1,1,,0.00740935943555926,0.00762051525682951
11,3,,,,,0.00720472654081209,0.0067913975087057
4,4,2,10,1,,0.00742261161844821,0.00735612448669638
9,4,9,1,4,,0.00734137218808723,0.00760657155084761
11,3,7,5,9,9,0.00708011354794776,0.00703774765129054
17,7,2,,,,0.00751713285799798,0.00721085022032145
7,8,6,5,,,0.00737974555784234,0.00762913368553323
16,5,,,,,0.00748894079929369,0.00723628220661475
17,2,9,1,,,0.00734778469947151,0.00745370785903722
3,1,9,9,2,3,0.00751859598472118,0.00736958324582399
13,1,,,,,0.00730132272876813,0.0076705807228833
16,8,,,,,0.00733149811363879,0.00741187209901043
16,6,7,3,6,4,0.00734414285767182,0.00755866421808218
16,6,,,,,0.00742713040969389,0.00758950877261565
13,8,,,,,0.00746456352858165,0.0074802584821593
1,7,,,,,0.00470656030602899,0.00427565891277075
6,6,7,9,,,0.00743911774254004,0.00716701525221054
5,7,4,4,6,10,0.00733526977685681,0.00799775895326133
12,6,1,,,,0.0072996261189723,0.00765229389980257
6,6,,,,,0.00752847114257611,0.00704340557315321
20,4,,,,,0.00728488669308531,0.00754203558494924
19,9,4,4,,,0.00738693307756844,0.00752511118277435
13,7,2,4,1,,0.00740935861609053,0.00734306639182694
1,4,2,,,,0.00464252155146791,0.00455688426889034
16,3,6,10,10,,0.00742839245423734,0.00745205848001949
9,4,,,,,0.00733250020156986,0.00744123684566329
5,3,10,5,6,5,0.00748126584732771,0.00741236630876889
17,6,4,1,8,10,0.00740908511038704,0.00747244715997777
16,6,6,9,,,0.00735620182226787,0.00741630210681399
8,8,7,8,5,,0.00726708057676433,0.00774743429215746
7,10,4,9,,,0.00744417169306759,0.00761956633518392
1,5,3,10,8,,0.00468501014005532,0.00489593033718947
13,7,10,9,4,,0.00752645707330813,0.00726791783005618
18,6,7,8,10,,0.00742641787712147,0.00740562024881138
11,4,8,8,,,0.00714863139461956,0.00737830867371751
4,6,6,,,,0.0073472278212576,0.00796394788448869
14,2,7,,,,0.00738619637703177,0.00756112972016393
15,6,5,4,,,0.00756010006802322,0.00714988912346426
18,8,,,,,0.00751781913789879,0.00717713840241254
14,3,1,,,,0.00731822650116305,0.0080387566447517
16,3,9,6,6,3,0.00744576151265584,0.00747918361379017
6,10,6,10,10,,0.00742380309812145,0.0074672000001349
5,2,6,6,,,0.00750199867678418,0.00741129261551911
7,7,9,1,10,,0.00751972024852948,0.00741143839995801
3,10,9,2,8,10,0.00746716689673896,0.00766084175582814
19,7,1,5,,,0.00739573082190773,0.00743423867014716
7,3,,,,,0.00734052091455674,0.00722724338009684
7,3,,,,,0.00734889163793766,0.00759469283220188
11,9,10,6,8,,0.00715528033648605,0.00698399200758424
4,8,4,,,,0.00739752044442404,0.00752371109430378
12,10,4,6,10,6,0.0073275671713151,0.00773701025966399
2,7,,,,,0.00723815517994331,0.00706100441537745
18,4,,,,,0.0074082154708583,0.00733089900489452
1,5,10,1,,,0.00475757039391921,0.00445050825225754
13,10,10,2,2,8,0.00732288074854409,0.00747275553070508
1,7,9,1,,,0.0046272800539002,0.00463250620198654
16,3,6,,,,0.00753104384359204,0.00721123105568699
20,5,9,,,,0.0073517229033104,0.00779706387058417
6,9,,,,,0.00731436989998399,0.00788866570142803
7,1,,,,,0.00742687505337454,0.00769071742171562
20,10,2,,,,0.00748705818926652,0.00710421679028573
17,3,7,10,,,0.00750638541255519,0.00727985592962622
18,10,10,1,3,5,0.00730172220292137,0.00782120629648494
16,10,6,8,4,,0.00735338028913918,0.00756998849277213
11,3,,,,,0.00700883326058272,0.00750561961810663
9,5,10,8,,,0.00740017766420376,0.00744025950253148
17,3,2,,,,0.0073560202980862,0.00754603949044092
8,9,1,4,,,0.00751310221409396,0.00741482591014952
15,4,2,,,,0.00732273015940051,0.00754797278909947
19,6,1,,,,0.00742162484464846,0.00723384152794111
16,1,,,,,0.00742117193388654,0.00743024494895516
5,3,8,3,6,4,0.00747312839754096,0.00758208263537083
18,6,10,,,,0.00749354693059566,0.00732931270977494
9,9,6,8,1,,0.00744593832451455,0.00745281603156277
11,10,2,7,10,,0.00733636958041336,0.0069506653962319
12,1,,,,,0.00726533447221636,0.00777571184985675
3,4,2,,,,0.00747173600696129,0.00728022157802291
10,2,8,4,5,1,0.00446287530275183,0.00462123237210379
5,1,5,3,1,,0.00744805625581406,0.00745851717502314
3,5,4,7,10,,0.00735944730548415,0.00788975317911771
8,8,2,2,4,9,0.00734086951227936,0.00741047268817668
10,9,4,,,,0.00464692620342175,0.00465575646942889
6,10,10,,,,0.00729374595153902,0.00794766547304821
16,10,6,6,7,,0.00718138330282016,0.00823928356349395
12,8,,,,,0.00735438952854874,0.00763121662136069
1,1,10,,,,0.00470493220073969,0.0043551857799181
17,2,9,,,,0.00744276827855277,0.00736270320001737
11,2,6,8,3,6,0.00729570098377467,0.00687641370629755
18,9,,,,,0.00744338582723825,0.00717976706872548
20,10,10,7,9,1,0.00743841337508975,0.00728819736325824
15,8,1,3,4,,0.00744540338333175,0.00698895337696226
3,9,,,,,0.00739793047949272,0.00711407164216498
12,8,10,10,4,4,0.00744995159133786,0.00696487283903125
5,2,,,,,0.00744088474943127,0.0073394789105549
12,5,,,,,0.00739379189457512,0.00730377635416436
12,4,6,7,,,0.00740347024410705,0.00751500829814992
14,6,9,3,,,0.00741511685797176,0.0074142879411112
13,6,10,7,10,,0.00743182683720673,0.00733442383970366
17,8,5,1,,,0.00743775809427008,0.00685615508777591
19,6,9,9,9,,0.00722153893276318,0.00783905180257249
6,4,,,,,0.00756913355139007,0.00733833959148263
7,7,,,,,0.00739306013449268,0.00765522969445299
14,5,4,5,4,,0.00731582116219327,0.00765785865015941
13,6,4,8,4,,0.00739152899844458,0.0075425457028886
2,9,10,9,,,0.00728722765582283,0.00719860382936973
7,7,9,,,,0.00749378054566734,0.00732671063009953
8,7,,,,,0.00738323642386622,0.00743888279868723
8,7,6,6,9,,0.00737246472608444,0.00773317845119465
18,7,1,6,8,7,0.00728621364687844,0.0076524800635547
7,10,4,6,5,,0.00729630429936753,0.00774406170956274
2,2,,,,,0.00735434845313011,0.00711672956403694
15,3,5,,,,0.00760573252869521,0.00726744333480994
4,8,10,6,,,0.0075561663436325,0.00719589340421824
1,3,,,,,0.00466645784477264,0.00468434963869099
6,1,10,10,6,,0.00744907701928123,0.00751456826926663
17,7,1,10,6,9,0.00745862698511928,0.00723662278813239
18,8,,,,,0.00737572745528583,0.00768771002358273
19,4,4,1,3,,0.00741395199808379,0.00724875917259479
16,3,5,5,5,,0.00740343622055547,0.0071082677993091
18,7,4,10,1,10,0.00726531307989796,0.00792694618831945
18,4,8,6,,,0.00733494622085861,0.00753966932482224
17,9,,,,,0.00737833056250416,0.00732157885477508
15,1,10,6,1,,0.00746183949813414,0.00705862153257755
18,2,2,4,3,,0.00733130775480126,0.00765588034497456
5,2,4,,,,0.00738848530183173,0.00736305262336436
19,7,5,,,,0.00760958599812281,0.0069493222536111
6,3,5,5,4,,0.00749851563961694,0.00739661344173339
5,6,3,7,2,8,0.00747957702921705,0.00779025109708477
3,9,8,,,,0.00753575090313786,0.00767903668520952
6,7,7,,,,0.00732568761256782,0.00749792632015517
17,2,,,,,0.00741536271067448,0.00752034305790461
14,8,,,,,0.00741568041832305,0.00717692507919964
6,6,4,5,,,0.00744992279248436,0.00760399153695651
20,3,,,,,0.00740936836001987,0.00743992158265358
3,3,9,,,,0.007419120417764,0.00746862667976592
3,9,10,,,,0.00745132341613003,0.00752044753751913
12,8,10,,,,0.0073503967263886,0.00735585275671135
11,2,,,,,0.0071256202094071,0.00722872822778884
16,1,,,,,0.00738545973579742,0.00743985431925079
9,3,2,2,2,8,0.00743172469061534,0.00716495355721327
10,4,2,5,3,8,0.00456149595862946,0.00426739960508969
13,3,8,4,4,1,0.00747154619501456,0.00714552043587832
20,3,4,10,1,9,0.00741577688745188,0.00786027627451969
7,7,10,2,,,0.00730567320585938,0.00772831081816398
11,1,2,8,1,3,0.00708295982822698,0.00745803458920341
12,2,,,,,0.00735064935365267,0.00781146399235663
13,9,2,6,,,0.0073961957689092,0.0073987864082784
16,8,3,,,,0.00732644950280813,0.00774935125853497
3,5,7,5,6,8,0.00744946197491423,0.00724335780291467
8,3,3,5,2,10,0.00742040181340228,0.00744470799510811
10,10,8,2,,,0.00465881291429727,0.00463601734292428
12,1,9,3,2,2,0.007425229548085,0.00719540746010057
17,8,5,10,7,6,0.00738786276606651,0.00746363083164139
5,2,10,6,7,1,0.00739861434128235,0.00734199613213496
10,9,1,7,,,0.00471532990808769,0.00461741543242465
17,1,8,8,,,0.00749194436339098,0.00726221080960945
15,10,10,6,4,10,0.00730925510883263,0.00792722417953937
4,1,10,8,1,,0.00744860715710273,0.00731579323793471
8,1,1,10,10,5,0.00725209212454851,0.00760241010148169
14,8,,,,,0.0073816992286749,0.00792921891662097
13,9,7,9,1,,0.00732763410910857,0.00748934739130443
5,3,3,,,,0.00747856831192437,0.00734161278316297
17,8,5,1,,,0.00733573133960377,0.00771834996830818
20,6,10,8,,,0.00737608713657289,0.00756956162826055
13,7,6,7,,,0.00739877963480574,0.00731530466277221
11,4,1,4,10,7,0.00701995698490102,0.00749448111187352
18,4,6,6,8,8,0.00743074643378421,0.00732464621763985
16,9,1,6,2,,0.00729525770922827,0.00743656817206409
10,4,4,10,7,,0.00457223604663406,0.00479718002549956
17,4,,,,,0.00741069376746929,0.00751736280481504
9,7,4,4,,,0.00741495392492643,0.00737517085906887
15,1,3,6,9,3,0.00730114558567059,0.00811241525608264
18,5,,,,,0.0074108974118632,0.00762258492484143
13,7,1,6,8,7,0.00745248687359473,0.00734971296941073
11,2,5,10,,,0.00722561791888109,0.00721757881984088
19,4,10,2,,,0.00718118882893454,0.00811247403749712
12,8,10,7,2,1,0.00735306985360497,0.00737945892629864
2,5,10,10,,,0.00714127012753192,0.00755739758542209
14,6,3,2,4,,0.00737705340818255,0.00759078493696185
20,3,9,1,10,8,0.00741900856182356,0.00768267191414777
18,3,9,5,1,,0.00747439412365623,0.00717121549391575
4,6,10,,,,0.00752618318093327,0.00757518995983393
19,6,1,10,2,6,0.00736293000748684,0.00728315302742696
1,10,7,5,3,,0.00465520330507161,0.0048303573398063
19,1,5,,,,0.00730450073938393,0.00799174821380143
7,4,9,3,8,7,0.00735986667729873,0.00759219928697345
14,1,4,5,5,10,0.00730425274463133,0.00804735634931195
6,3,10,5,7,2,0.00751418745835143,0.0076643789849022
2,5,,,,,0.00719436646270147,0.00719920710338398
1,1,5,9,8,,0.00455201077027109,0.00487487001383482
3,7,,,,,0.00745598942366234,0.00689341200329334
20,7,4,2,7,6,0.00745279880553898,0.00723062409554049
16,5,5,9,2,,0.00739825964094715,0.00750426377662617
6,3,6,9,,,0.00739372654042854,0.00768529317412539
3,2,7,4,,,0.00743858932791667,0.00755507943399792
8,4,10,,,,0.00730175064451219,0.00763496696185026
18,10,10,4,4,,0.00742003001376597,0.00688506365083759
2,7,7,9,,,0.00715856743595825,0.00775482062418091
2,4,9,2,8,7,0.0072123091547691,0.00735626434178576
6,5,1,7,7,7,0.00743917145680958,0.00760349945562232
17,5,8,4,5,,0.00733414217477851,0.00755047672291822
16,10,,,,,0.00756721437141375,0.00705515218617093
11,2,,,,,0.00728194843497212,0.00684830793785464
12,9,,,,,0.007410757084647,0.00749244131143133
4,2,9,4,10,9,0.00757673101672832,0.00725212479331623
15,4,5,9,,,0.00747101662693384,0.0071571169824247
15,7,2,3,,,0.00735384791728195,0.00736965000483914
4,1,8,7,10,6,0.00739231651605064,0.00789431602900133
8,1,8,2,5,1,0.00740100351111988,0.00732767601806574
17,7,,,,,0.0073339214379146,0.00740150486935957
1,5,,,,,0.00467845429337709,0.00447058734237331
7,10,10,2,,,0.00746234997141303,0.00752477718455319
18,2,6,9,5,,0.00744182676655525,0.00703905615374101
12,5,1,8,4,4,0.00730093387269745,0.00769897196171025
20,8,9,9,7,,0.00730106962911003,0.00783850853650047
11,9,3,,,,0.0071672460576818,0.00735177624249923
18,1,10,5,5,,0.00745054001474013,0.00739052877239311
9,2,,,,,0.00734908393828459,0.00752575223937247
2,2,,,,,0.00727392105099823,0.00709447892354556
15,2,2,2,9,1,0.00749060159585303,0.00724465134196176
6,6,6,1,1,,0.00748735953549247,0.0073130652678853
17,8,9,,,,0.0073821129716891,0.0072449715114477
13,4,,,,,0.00743078654312766,0.00761544127477199
20,6,1,5,8,7,0.0073267815532645,0.00740517437975235
12,2,1,5,9,2,0.00734385954026568,0.00731911827642326
2,6,9,9,6,,0.00731041095702474,0.00731155341308806
6,4,9,6,9,,0.00733383050907152,0.00758818844109606
16,10,9,,,,0.00741344385266984,0.00721666880042478
12,8,6,,,,0.00754111046013648,0.00719009120072935
2,10,7,4,1,,0.00722622585075108,0.00708074203156106
6,8,,,,,0.00753992982306459,0.00703242410455461
10,10,8,,,,0.00453125982396682,0.0045695830579721
9,4,1,7,,,0.00749742285308047,0.00701163960806881
3,5,7,9,10,3,0.00744064390498569,0.00729589956191885
14,5,,,,,0.00737247402253501,0.00751833707413538
10,4,7,2,3,10,0.00453713428757981,0.00454550645507857
19,8,1,5,5,9,0.00732849511265449,0.00746128587529393
15,7,10,5,,,0.00736148586865936,0.00765350681445692
12,5,,,,,0.00735668419885651,0.00719218137661599
1,1,,,,,0.004623652546116,0.00447204876530777
2,7,2,5,4,,0.00728284143843087,0.0071018404174597
9,9,7,,,,0.00741723403442283,0.00726696495120245
20,3,5,,,,0.00743417123269924,0.00708792243078495
12,6,1,2,7,3,0.00726107419531366,0.00751070451590179
7,10,10,4,,,0.00734669392555912,0.00738791400938302
10,1,7,,,,0.00448553150575956,0.00441753299993707
18,10,4,,,,0.00738298188056281,0.00731187222973619
19,4,4,10,,,0.00739187484916308,0.00742224847977094
13,10,1,6,,,0.00739260269749308,0.00774347929158978
7,7,4,5,9,9,0.00749026940404483,0.007718410745203
2,8,,,,,0.00721605269328472,0.00696928172109517
12,10,5,6,10,2,0.0072417578643666,0.00788547758940866
10,5,6,,,,0.00458988008551771,0.00448047025742404
2,9,9,5,8,,0.00719089791409045,0.00740839220007675
4,2,,,,,0.00743487267663608,0.00766765823643516
1,7,2,4,6,,0.00487530246128857,0.00475282658363119
10,4,,,,,0.00461345868386868,0.00410317920263264
13,1,10,9,,,0.00739463026533211,0.00749172599447769
5,6,2,2,,,0.00752207875605683,0.00749588483566468
9,1,,,,,0.00744038705768424,0.00730160867456944
17,7,6,,,,0.00757676842035378,0.006900771131066
20,9,2,6,,,0.00735778391524789,0.00742004632616626
16,5,9,,,,0.0073694032229987,0.0073828072396057
2,5,7,1,10,8,0.00743964904763376,0.00731104839261124
18,8,2,,,,0.00739995756261442,0.0076617619028049
11,3,3,3,,,0.00711455889175184,0.00776101709036328
10,8,,,,,0.00448671558594495,0.00452850151366636
10,8,7,2,9,8,0.00446388735806321,0.00464419401566994
11,9,8,4,7,2,0.0071374858743455,0.00757255194930352
17,2,2,4,,,0.00747827602639319,0.00729398828138025
7,5,,,,,0.00734505329503943,0.00747979725787171
14,4,4,,,,0.00742537353504645,0.00727095692813376
2,10,2,10,3,,0.00720686646776235,0.00723340580619525
2,4,3,9,,,0.00727130567354776,0.00670192911844662
11,3,7,,,,0.00725017038396212,0.00667943655275124
19,4,4,6,10,,0.00742874813843557,0.00785759539847579
18,7,,,,,0.00727197750447846,0.00729026383916124
2,1,,,,,0.0071906822069997,0.00762052748046316
11,8,4,6,,,0.00704071393058089,0.00719237423841649
17,8,3,3,,,0.00741515606550987,0.00717522828627391
18,5,2,,,,0.00731892840688609,0.00747433612829406
13,7,1,1,2,9,0.0073668914576263,0.0070440503700512
18,6,9,1,,,0.00729628450539474,0.00778140135243802
13,10,10,9,,,0.00750313278652523,0.00720946249886247
12,7,4,8,,,0.00745861382060945,0.00704307473477672
13,6,,,,,0.00738908093135507,0.00751884776929833
15,2,3,6,,,0.00741424896687636,0.00745685012834782
10,3,6,9,7,,0.00448234070558625,0.00446182958422621
18,5,,,,,0.00736365450783341,0.0076865315470856
6,6,,,,,0.00745295055956991,0.00754153635595062
2,7,3,9,1,6,0.00720161477841993,0.00730400218596673
2,4,6,2,7,1,0.00717333198487407,0.00793205670731044
6,4,3,,,,0.00732160841777234,0.00794238949314951
2,6,9,,,,0.00722418493650767,0.00682326301833785
4,10,,,,,0.00743497151367702,0.00759361832667117
4,1,6,,,,0.0074785723576822,0.00742457730823808
1,5,1,7,,,0.00513146821446309,0.004960033013067
20,5,3,5,3,,0.00726107413551082,0.00769639240760519
14,2,7,8,1,,0.00741514463254736,0.00785292745356351
10,9,7,9,,,0.00448246611737104,0.00442256877352969
10,7,7,,,,0.00447710036983564,0.00469000106588171
11,7,9,2,1,8,0.00726251874246901,0.00698261955047222
11,6,,,,,0.00722372117887999,0.00680256680563959
20,4,6,,,,0.00730307582554042,0.00743737675811734
3,2,3,9,8,7,0.00741036723307509,0.0074667184319082
12,6,8,10,,,0.00743294660333457,0.00747649240445493
2,2,6,3,,,0.0073350095782358,0.00709536766510489
5,4,1,,,,0.00736537621869505,0.00759907970700483
11,2,,,,,0.00719257701012942,0.00714123265350477
6,5,,,,,0.00747936725588145,0.00743096248603263
12,8,4,8,2,,0.00744072899094453,0.00718769053964298
5,8,7,4,9,,0.00765500620200617,0.00746090722084842
16,2,1,2,,,0.00733172738970371,0.00751830994719247
7,7,4,,,,0.00744823008105999,0.00713207165209477
19,4,2,,,,0.00738667172510479,0.00735785282187373
6,8,4,4,10,,0.00740779121655322,0.00755971641899783
17,6,3,3,1,1,0.00748254447016974,0.00732006185834908
1,9,9,3,1,4,0.00465935174629825,0.00468127411541825
15,1,7,9,1,3,0.00743877555238132,0.00745859088667184
16,10,8,,,,0.00742958149211931,0.00789012220292255
2,5,7,3,,,0.00723009826475523,0.00741495917563198
19,10,1,,,,0.00745677701841761,0.0071932639735074
14,7,,,,,0.00730463023427402,0.00743920445400135
6,3,10,6,6,,0.00749501683049411,0.00701270266159116
20,2,2,1,,,0.00736454192314948,0.00730125831567156
19,7,9,10,2,9,0.00748974678344274,0.00726156903554923
